YEAR,NAME,TEAM,AVG,G,PA,AB,R,H,D,T,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA,TBPI
2010,장민석,넥센,0.283,119,493,435,60,123,16,10,1,162,47,12,4,41,0,1,74,6,0.372,0.343,0.715,34,0.314,0.0,-0.3777932
2013,최진행,한화,0.3,106,422,367,39,110,27,0,8,161,53,1,1,50,1,3,86,18,0.439,0.387,0.826,23,0.297,0.2,-0.37926263
2008,안치용,LG,0.295,101,421,370,46,109,27,3,7,163,52,3,9,39,1,0,79,6,0.441,0.354,0.795,34,0.301,0.0,-0.37958682
2003,강동우,삼성,0.266,130,520,443,61,118,19,4,9,172,57,15,4,53,0,5,51,17,0.388,0.349,0.737,32,0.324,0.333,-0.37993842
2006,송지만,현대,0.27,119,510,441,76,119,16,0,16,183,53,12,1,43,1,13,69,10,0.415,0.351,0.766,32,0.298,0.0,-0.38010925
2012,김주찬,롯데,0.294,118,488,435,62,128,27,3,5,176,39,11,5,30,1,7,48,7,0.405,0.346,0.751,39,0.278,0.333,-0.3802963
2016,김호령,KIA,0.267,124,514,453,72,121,18,3,8,169,41,13,2,36,0,10,104,7,0.373,0.333,0.706,32,0.221,0.5,-0.38068306
2007,강민호,롯데,0.271,125,474,413,48,112,20,0,14,174,68,17,3,37,1,4,88,10,0.421,0.335,0.756,25,0.343,1.0,-0.38068485
2021,박병호,키움,0.227,118,477,409,48,93,23,0,20,176,76,0,7,47,3,14,141,9,0.43,0.323,0.753,22,0.233,0.333,-0.38172382
2023,장성우,KT,0.288,131,464,410,37,118,22,0,11,173,65,3,7,42,1,2,70,12,0.422,0.351,0.773,36,0.267,0.25,-0.3821233
2004,라이온,롯데,0.3,102,438,404,52,121,28,0,12,185,55,1,3,25,2,5,66,5,0.458,0.346,0.804,30,0.23,0.0,-0.38216162
2004,안경현,두산,0.28,125,525,447,57,125,20,1,10,177,51,9,2,54,2,13,44,15,0.396,0.372,0.768,33,0.248,0.0,-0.38279036
2018,김민성,넥센,0.283,128,465,413,46,117,24,0,10,171,45,1,5,40,3,6,80,6,0.414,0.351,0.765,24,0.231,0.471,-0.38308316
2007,정근우,SK,0.323,111,391,341,62,110,24,2,9,165,44,9,0,35,0,6,44,6,0.484,0.395,0.879,29,0.329,0.444,-0.38339347
2013,김태균,한화,0.319,101,430,345,41,110,24,0,10,164,52,0,4,73,7,8,67,14,0.475,0.444,0.919,29,0.281,0.0,-0.38357994
2008,김태완,한화,0.266,124,450,383,44,102,16,0,23,187,73,0,6,50,4,11,78,9,0.488,0.362,0.85,26,0.269,0.154,-0.38420963
2003,조원우,SK,0.281,128,518,452,65,127,18,0,8,169,48,13,4,35,1,14,65,7,0.374,0.349,0.723,39,0.316,0.143,-0.38438565
2010,박용택,LG,0.3,107,420,370,62,111,21,0,9,159,45,6,1,38,3,5,64,6,0.43,0.372,0.802,34,0.294,0.308,-0.38507366
2013,박한이,삼성,0.284,112,466,394,56,112,12,3,6,148,55,18,2,51,0,1,74,5,0.376,0.366,0.742,31,0.333,1.0,-0.38595778
2004,박용택,LG,0.3,109,435,393,51,118,15,2,16,185,58,6,1,32,3,3,68,4,0.471,0.357,0.828,36,0.294,0.125,-0.38613924
2012,나지완,KIA,0.274,124,480,398,40,109,17,1,11,161,56,8,5,56,4,13,93,9,0.405,0.377,0.782,29,0.264,0.125,-0.38620752
2019,박해민,삼성,0.239,144,581,506,64,121,16,7,5,166,44,12,3,58,0,2,82,4,0.328,0.318,0.646,34,0.239,0.143,-0.3862854
2008,송지만,우리,0.28,118,451,414,48,116,18,0,13,173,62,0,4,28,1,5,82,11,0.418,0.33,0.748,34,0.32,0.625,-0.3887778
2022,허경민,두산,0.289,121,493,432,59,125,23,0,8,172,60,2,7,36,3,16,40,12,0.398,0.36,0.758,33,0.317,0.0,-0.3897531
