YEAR,NAME,TEAM,AVG,G,PA,AB,R,H,D,T,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA,TBPI
2003,전상렬,두산,0.262,125,436,386,58,101,15,4,1,127,29,4,2,30,0,14,56,4,0.329,0.336,0.665,27,0.245,0.125,-0.58919215
2014,손주인,LG,0.29,120,400,341,50,99,11,0,5,125,30,17,4,30,0,8,42,8,0.367,0.358,0.725,28,0.288,0.4,-0.59097207
2007,신명철,삼성,0.252,126,471,416,43,105,20,2,5,144,31,23,2,27,0,3,68,11,0.346,0.301,0.647,30,0.212,0.0,-0.5914906
2007,김민재,한화,0.273,118,451,395,43,108,17,0,6,143,47,20,1,29,0,6,36,9,0.362,0.332,0.694,29,0.348,0.0,-0.59247977
2008,정성훈,우리,0.27,109,399,355,43,96,21,2,3,130,34,2,1,36,1,5,41,13,0.366,0.345,0.711,21,0.299,0.222,-0.59504044
2004,조인성,LG,0.254,129,432,386,40,98,16,0,8,138,49,3,4,36,0,3,63,9,0.358,0.319,0.677,22,0.255,0.0,-0.60225636
2009,김상훈,KIA,0.23,124,441,379,35,87,14,0,12,137,65,8,4,46,2,4,72,10,0.361,0.316,0.677,17,0.32,0.0,-0.6044673
2012,오선진,한화,0.263,110,446,399,33,105,18,3,3,138,41,13,2,25,0,7,65,7,0.346,0.316,0.662,31,0.3,0.0,-0.6061342
2020,박찬호,KIA,0.223,141,531,480,63,107,16,0,3,132,36,12,3,36,0,0,87,14,0.275,0.276,0.551,30,0.185,0.0,-0.6067275
2002,임수민,한화,0.227,127,427,366,55,83,16,1,10,131,35,11,2,40,0,7,78,10,0.358,0.313,0.671,19,0.221,0.25,-0.6070011
2010,김원섭,KIA,0.238,111,428,353,43,84,16,3,5,121,28,16,1,56,0,2,63,5,0.343,0.345,0.688,22,0.194,0.222,-0.6120616
2004,김민재,SK,0.26,129,489,435,57,113,13,1,4,140,40,22,5,23,0,4,42,11,0.322,0.3,0.622,27,0.28,0.0,-0.61212397
2007,안경현,두산,0.274,109,400,351,26,96,17,4,2,127,49,4,6,33,2,6,27,13,0.362,0.341,0.703,23,0.278,0.2,-0.6219688
2009,이현곤,KIA,0.253,120,428,363,35,92,15,0,2,113,33,15,6,34,0,10,63,16,0.311,0.329,0.64,24,0.25,0.333,-0.62702686
2006,김한수,삼성,0.254,103,396,343,41,87,15,0,7,123,54,2,4,32,0,15,54,12,0.359,0.34,0.699,18,0.282,0.0,-0.62868714
2013,정훈,롯데,0.258,113,398,341,50,88,15,3,5,124,37,14,5,30,0,8,54,8,0.364,0.328,0.692,18,0.258,0.25,-0.6326856
2006,손시헌,두산,0.267,126,462,404,29,108,16,4,2,138,34,11,2,35,1,10,48,5,0.342,0.339,0.681,24,0.286,0.0,-0.6339111
2022,이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0,20,2,2,44,16,0.331,0.303,0.634,26,0.262,0.364,-0.6340688
2009,권용관,LG,0.247,128,431,381,45,94,15,3,7,136,34,13,2,28,0,7,67,11,0.357,0.309,0.666,19,0.187,0.4,-0.63516986
2007,김주찬,롯데,0.261,113,416,387,49,101,17,1,5,135,30,7,1,13,3,8,69,4,0.349,0.298,0.647,29,0.257,0.286,-0.63598347
2006,강동우,두산,0.249,118,456,393,36,98,12,2,2,120,34,9,4,47,2,2,54,9,0.305,0.33,0.635,27,0.214,0.0,-0.6360885
2012,이종욱,두산,0.24,121,497,437,57,105,17,1,0,124,39,9,5,43,2,3,43,2,0.284,0.309,0.593,23,0.263,0.0,-0.6375228
2013,조동화,SK,0.256,105,405,332,52,85,11,3,0,102,19,16,3,46,1,8,76,3,0.307,0.357,0.664,16,0.191,0.2,-0.6454914
2005,신명철,롯데,0.256,116,398,344,47,88,16,3,5,125,33,25,1,25,0,3,79,5,0.363,0.311,0.674,19,0.244,0.0,-0.65731895
2006,김동수,현대,0.279,115,391,333,38,93,12,0,5,120,40,17,4,29,3,8,39,10,0.36,0.348,0.708,20,0.29,0.0,-0.65794325
2002,정수근,두산,0.235,122,482,426,58,100,9,2,3,122,22,8,1,44,2,3,51,8,0.286,0.31,0.596,25,0.204,0.0,-0.66057897
2008,나주환,SK,0.247,118,413,361,43,89,16,3,3,120,46,13,7,26,0,6,64,12,0.332,0.303,0.635,20,0.267,0.0,-0.6615427
2023,정은원,한화,0.222,122,459,388,50,86,12,0,2,104,30,5,1,62,1,3,73,4,0.268,0.333,0.601,16,0.214,0.0,-0.6629116
2008,추승우,한화,0.245,119,419,371,53,91,13,3,0,110,20,7,1,30,4,10,75,3,0.296,0.318,0.614,22,0.229,0.273,-0.663675
2013,장민석,넥센,0.242,115,407,360,54,87,16,2,2,113,30,9,3,35,0,0,63,4,0.314,0.307,0.621,21,0.325,0.25,-0.6638943
2008,이현곤,KIA,0.257,112,435,393,33,101,19,2,2,130,40,4,4,30,1,3,51,12,0.331,0.312,0.643,25,0.294,0.0,-0.66421473
2019,김성현,SK,0.246,144,472,426,45,105,16,2,1,128,34,8,3,33,0,2,43,15,0.3,0.302,0.602,24,0.216,0.0,-0.665624
2013,권희동,NC,0.203,121,397,349,42,71,19,1,15,137,54,7,3,36,0,2,75,6,0.393,0.279,0.672,14,0.237,0.308,-0.6682319
2006,이대수,SK,0.253,122,428,387,46,98,15,4,5,136,26,11,0,25,0,5,68,6,0.351,0.307,0.658,26,0.149,0.0,-0.6685095
2006,고동진,한화,0.241,120,414,370,40,89,14,2,4,119,29,6,5,21,1,12,80,6,0.322,0.299,0.621,19,0.213,0.5,-0.67291224
2005,김종국,KIA,0.235,117,429,374,39,88,15,3,4,121,40,10,5,37,0,3,68,7,0.324,0.305,0.629,19,0.265,0.0,-0.6765735
2007,진갑용,삼성,0.246,122,427,362,28,89,12,0,5,116,39,5,4,49,2,7,38,9,0.32,0.344,0.664,26,0.227,0.0,-0.6797766
2008,박진만,삼성,0.244,104,391,332,28,81,12,3,5,114,38,9,3,44,0,3,50,9,0.343,0.335,0.678,20,0.247,0.0,-0.6911782
2006,조원우,한화,0.267,106,391,341,48,91,10,0,1,104,25,11,4,30,0,5,45,6,0.305,0.332,0.637,22,0.292,0.0,-0.70650244
2019,오선진,한화,0.224,122,453,392,37,88,16,0,3,113,36,10,3,38,0,10,72,8,0.288,0.307,0.595,22,0.263,0.0,-0.7093304
2007,이원석,롯데,0.262,121,407,363,43,95,10,1,1,110,29,16,1,24,0,3,57,7,0.303,0.312,0.615,25,0.275,0.0,-0.7095319
2007,권용관,LG,0.241,121,398,349,41,84,12,3,4,114,36,16,3,26,1,4,67,14,0.327,0.298,0.625,18,0.223,0.0,-0.7120729
2007,김일경,현대,0.247,117,444,376,44,93,11,1,3,115,26,36,1,25,0,6,56,11,0.306,0.304,0.61,23,0.262,0.0,-0.71576375
2003,김민재,SK,0.211,129,452,369,43,78,16,1,4,108,36,30,5,44,0,4,42,13,0.293,0.299,0.592,16,0.242,0.0,-0.74906915
2005,채종국,현대,0.237,106,407,342,45,81,10,1,9,120,36,16,5,25,1,19,40,6,0.351,0.32,0.671,19,0.2,0.0,-0.7550303
2010,이대수,한화,0.232,125,416,375,33,87,13,1,7,123,37,6,3,26,0,6,57,4,0.328,0.29,0.618,22,0.28,0.0,-0.76419324
2006,김상훈,KIA,0.234,122,417,367,33,86,15,1,2,109,35,18,0,30,0,2,54,9,0.297,0.296,0.593,19,0.304,0.333,-0.76562107
2006,김민재,한화,0.211,121,428,375,41,79,17,0,5,111,27,17,1,31,0,4,54,18,0.296,0.277,0.573,17,0.167,0.0,-0.7915033
2008,김민재,한화,0.241,114,397,357,26,86,13,0,5,114,35,7,1,30,1,2,37,6,0.319,0.303,0.622,19,0.301,0.0,-0.8075489
